doc_id,DEPTH,EQUIPMENT,MEASUREMENT_BAR,MEASUREMENT_DEG,MEASUREMENT_KNM,MEASUREMENT_LPM,MEASUREMENT_M3,MEASUREMENT_MT,MEASUREMENT_RPM,MEASUREMENT_SG,TIME_REF
15_9_19_ST2_1993_02_26.pdf,73,12,36,0,0,0,0,0,0,48,0
15_9_19_ST2_1993_02_27.pdf,84,60,0,0,0,0,0,0,0,0,12
15_9_19_ST2_1993_02_28.pdf,36,25,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_01.pdf,180,61,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_02.pdf,181,0,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_03.pdf,60,1,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_04.pdf,61,85,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_05.pdf,144,48,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_06.pdf,52,0,0,0,0,0,0,0,0,0,4
15_9_19_ST2_1993_03_07.pdf,158,25,0,0,0,0,0,0,0,0,12
15_9_19_ST2_1993_03_08.pdf,84,13,0,0,0,0,0,0,0,0,24
15_9_19_ST2_1993_03_09.pdf,108,36,0,0,0,0,0,0,0,0,12
15_9_19_ST2_1993_03_10.pdf,101,68,33,0,0,0,0,0,0,0,33
15_9_19_ST2_1993_03_11.pdf,170,48,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_12.pdf,86,0,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_13.pdf,156,12,12,0,0,0,0,0,0,0,12
15_9_19_ST2_1993_03_14.pdf,77,11,0,0,0,0,0,0,0,0,11
15_9_19_ST2_1993_03_15.pdf,120,24,12,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_16.pdf,60,0,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_17.pdf,145,0,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_18.pdf,37,24,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_19.pdf,99,11,45,0,0,11,0,0,33,11,0
15_9_19_ST2_1993_03_20.pdf,65,1,0,0,0,0,0,0,0,0,12
15_9_19_ST2_1993_03_21.pdf,96,24,36,0,0,12,0,0,24,0,12
15_9_19_ST2_1993_03_22.pdf,108,0,12,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_23.pdf,66,44,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_03_24.pdf,62,38,12,0,0,0,0,0,0,0,36
15_9_19_ST2_1993_03_25.pdf,96,84,0,0,0,12,0,0,12,0,12
15_9_19_ST2_1993_03_26.pdf,49,60,24,0,0,24,0,0,12,0,24
15_9_19_ST2_1993_03_27.pdf,51,1,30,0,0,0,0,0,10,1,10
15_9_19_ST2_1993_03_28.pdf,10,41,50,0,0,0,0,10,0,40,10
15_9_19_ST2_1993_03_29.pdf,0,37,24,0,0,0,0,0,0,0,24
15_9_19_ST2_1993_03_30.pdf,13,37,24,0,0,0,0,0,0,12,24
15_9_19_ST2_1993_03_31.pdf,51,0,1,0,0,0,0,0,0,12,0
15_9_19_ST2_1993_04_01.pdf,24,24,73,0,0,0,0,0,0,0,36
15_9_19_ST2_1993_04_02.pdf,11,11,55,0,0,0,0,0,0,0,33
15_9_19_ST2_1993_04_03.pdf,0,11,11,0,0,0,0,0,0,0,11
15_9_19_ST2_1993_04_04.pdf,13,60,36,0,0,0,0,0,0,0,12
15_9_19_ST2_1993_04_05.pdf,72,48,48,0,0,0,0,48,0,12,24
15_9_19_ST2_1993_04_06.pdf,26,85,132,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_04_07.pdf,26,36,0,0,0,0,0,12,0,0,0
