doc_id,rank,keyword,tfidf_score
15_9_19_A_1997_08_24.pdf,15,top drive,0.129711
15_9_19_A_1997_08_25.pdf,1,vsp,0.318051
15_9_19_A_1997_08_25.pdf,2,hdil mac,0.276792
15_9_19_A_1997_08_25.pdf,3,hdil,0.276792
15_9_19_A_1997_08_25.pdf,4,zdl,0.268778
15_9_19_A_1997_08_25.pdf,5,cht,0.262003
15_9_19_A_1997_08_25.pdf,6,continued logging,0.256134
15_9_19_A_1997_08_25.pdf,7,rih logging,0.250956
15_9_19_A_1997_08_25.pdf,8,logging,0.243763
15_9_19_A_1997_08_25.pdf,9,logged,0.231168
15_9_19_A_1997_08_25.pdf,10,mac,0.228504
